iter	Passed	Remaining
407	5017	7280
408	5028	7265
409	5038	7250
410	5048	7234
411	5058	7219
412	5069	7204
413	5081	7192
414	5091	7177
415	5101	7162
416	5111	7146
417	5121	7130
418	5131	7115
419	5144	7103
420	5154	7088
421	5164	7073
422	5175	7059
423	5185	7044
424	5195	7029
425	5206	7014
426	5216	7000
427	5226	6985
428	5238	6972
429	5248	6957
430	5258	6942
431	5268	6927
432	5278	6912
433	5289	6898
434	5299	6882
435	5308	6867
436	5318	6852
437	5329	6838
438	5340	6824
439	5350	6809
440	5360	6794
441	5369	6778
442	5379	6764
443	5391	6751
444	5403	6739
445	5413	6723
446	5424	6710
447	5433	6694
448	5444	6680
449	5453	6665
450	5464	6651
451	5473	6636
452	5483	6621
453	5494	6607
454	5505	6595
455	5516	6581
456	5528	6568
457	5537	6553
458	5547	6539
459	5563	6531
460	5579	6523
461	5589	6508
462	5599	6494
463	5609	6480
464	5621	6467
465	5630	6452
466	5640	6437
467	5650	6423
468	5660	6409
469	5670	6394
470	5680	6379
471	5689	6364
472	5699	6350
473	5710	6336
474	5720	6322
475	5730	6307
476	5740	6294
477	5750	6279
478	5760	6265
479	5777	6259
480	5787	6245
481	5800	6233
482	5812	6221
483	5822	6207
484	5832	6192
485	5842	6179
486	5852	6164
487	5862	6150
488	5873	6137
489	5883	6123
490	5893	6109
491	5907	6099
492	5918	6086
493	5929	6073
494	5940	6060
495	5952	6048
496	5961	6033
497	5971	6019
498	5980	6004
499	5990	5990
500	6000	5976
501	6010	5962
502	6020	5949
503	6030	5935
504	6040	5921
505	6050	5906
506	6060	5892
507	6070	5879
508	6080	5865
509	6089	5851
510	6101	5838
511	6110	5824
512	6120	5810
513	6130	5796
514	6140	5782
515	6150	5769
516	6160	5755
517	6170	5741
518	6180	5728
519	6191	5715
520	6201	5701
521	6211	5688
522	6222	5674
523	6231	5660
524	6239	5645
525	6250	5632
526	6263	5622
527	6274	5609
528	6286	5596
529	6296	5583
530	6305	5569
531	6318	5558
532	6330	5546
533	6341	5534
534	6352	5521
535	6365	5510
536	6375	5497
537	6385	5483
538	6396	5470
539	6406	5457
540	6416	5444
541	6426	5430
542	6436	5417
543	6448	5405
544	6458	5392
545	6468	5378
546	6480	5366
547	6490	5353
548	6502	5341
549	6513	5329
550	6523	5315
551	6532	5301
552	6542	5288
553	6551	5274
554	6562	5261
555	6575	5250
556	6586	5238
557	6596	5225
558	6606	5212
559	6617	5199
560	6627	5185
561	6637	5173
562	6649	5161
563	6658	5147
564	6669	5135
565	6679	5121
566	6689	5108
567	6699	5095
568	6709	5081
569	6718	5068
570	6728	5055
571	6739	5042
572	6755	5034
573	6766	5021
574	6778	5010
575	6792	4999
576	6803	4987
577	6812	4973
578	6823	4961
579	6833	4948
580	6844	4936
581	6854	4923
582	6865	4910
583	6876	4898
584	6886	4884
585	6896	4872
586	6905	4858
587	6915	4845
588	6926	4833
589	6937	4821
590	6947	4808
591	6957	4794
592	6966	4781
593	6976	4768
594	6986	4755
595	6996	4742
596	7005	4729
597	7015	4716
598	7025	4703
599	7036	4690
600	7046	4677
601	7056	4665
602	7065	4651
603	7075	4639
604	7085	4626
605	7095	4612
606	7104	4599
607	7114	4586
608	7124	4574
609	7134	4561
610	7143	4548
611	7153	4535
612	7163	4522
613	7173	4509
614	7182	4496
615	7192	4483
616	7203	4471
617	7212	4458
618	7222	4445
619	7232	4432
620	7243	4420
621	7251	4407
622	7261	4394
623	7272	4382
624	7285	4371
625	7295	4358
626	7306	4346
627	7316	4334
628	7326	4321
629	7337	4309
630	7348	4297
631	7359	4285
632	7369	4272
633	7382	4261
634	7392	4249
635	7402	4236
636	7412	4223
637	7422	4211
638	7432	4199
639	7443	4186
640	7453	4174
641	7463	4161
642	7472	4149
643	7483	4136
644	7493	4124
645	7503	4111
646	7513	4099
647	7522	4086
648	7532	4073
649	7542	4061
650	7554	4049
651	7564	4037
652	7573	4024
653	7583	4012
654	7595	4000
655	7605	3988
656	7615	3975
657	7625	3963
658	7636	3951
659	7646	3939
660	7656	3926
661	7667	3914
662	7677	3902
663	7688	3890
664	7698	3878
665	7710	3866
666	7721	3855
667	7732	3842
668	7742	3830
669	7752	3818
670	7762	3806
671	7772	3793
672	7782	3781
673	7794	3769
674	7804	3757
675	7814	3745
676	7824	3733
677	7834	3720
678	7844	3708
679	7853	3695
680	7863	3683
681	7873	3671
682	7883	3659
683	7893	3646
684	7903	3634
685	7913	3622
686	7923	3610
687	7933	3597
688	7943	3585
689	7954	3573
690	7964	3561
691	7974	3549
692	7984	3536
693	7993	3524
694	8003	3512
695	8013	3500
696	8023	3487
697	8033	3475
698	8044	3463
699	8053	3451
700	8066	3440
701	8078	3429
702	8088	3417
703	8101	3406
704	8111	3394
705	8122	3382
706	8132	3370
707	8142	3358
708	8152	3346
709	8162	3333
710	8173	3322
711	8183	3310
712	8193	3298
713	8203	3285
714	8211	3272
715	8218	3259
716	8226	3247
717	8236	3234
718	8247	3223
719	8258	3211
720	8268	3199
721	8278	3187
722	8288	3175
723	8298	3163
724	8308	3151
725	8318	3139
726	8327	3127
727	8337	3115
728	8347	3103
729	8357	3091
730	8368	3079
731	8377	3067
732	8388	3055
733	8400	3044
734	8410	3032
735	8419	3020
736	8430	3008
737	8439	2996
738	8449	2984
739	8460	2972
740	8470	2960
741	8479	2948
742	8489	2936
743	8499	2924
744	8509	2912
745	8519	2900
746	8530	2889
747	8541	2877
748	8551	2865
749	8561	2853
750	8571	2841
751	8580	2829
752	8591	2818
753	8600	2806
754	8610	2794
755	8621	2782
756	8632	2770
757	8642	2759
758	8652	2747
759	8663	2735
760	8673	2724
761	8683	2712
762	8695	2700
763	8704	2688
764	8714	2677
765	8727	2666
766	8738	2654
767	8750	2643
768	8762	2632
769	8771	2620
770	8781	2608
771	8790	2596
772	8799	2584
773	8815	2573
774	8825	2562
775	8837	2551
776	8847	2539
777	8858	2527
778	8869	2516
779	8879	2504
780	8890	2493
781	8902	2481
782	8914	2470
783	8925	2458
784	8935	2447
785	8946	2435
786	8955	2423
787	8965	2412
788	8977	2400
789	8989	2389
790	9001	2378
791	9011	2366
792	9020	2354
793	9033	2343
794	9043	2332
795	9054	2320
796	9065	2308
797	9075	2297
798	9085	2285
799	9095	2273
800	9105	2262
801	9116	2250
802	9126	2239
803	9137	2227
804	9148	2216
805	9158	2204
806	9168	2192
807	9178	2181
808	9188	2169
809	9198	2157
810	9209	2146
811	9219	2134
812	9229	2122
813	9239	2111
814	9251	2100
815	9262	2088
816	9272	2076
817	9282	2065
818	9295	2054
819	9305	2042
820	9315	2031
821	9325	2019
822	9336	2007
823	9346	1996
824	9357	1984
825	9367	1973
826	9376	1961
827	9386	1949
828	9396	1938
829	9407	1926
830	9417	1915
831	9427	1903
832	9437	1892
833	9447	1880
834	9457	1868
835	9467	1857
836	9478	1845
837	9487	1834
838	9497	1822
839	9509	1811
840	9519	1799
841	9529	1788
842	9539	1776
843	9549	1765
844	9559	1753
845	9569	1742
846	9579	1730
847	9589	1718
848	9598	1707
849	9608	1695
850	9618	1684
851	9629	1672
852	9641	1661
853	9651	1650
854	9661	1638
855	9671	1626
856	9681	1615
857	9693	1604
858	9703	1592
859	9710	1580
860	9719	1569
861	9730	1557
862	9740	1546
863	9750	1534
864	9760	1523
865	9770	1511
866	9780	1500
867	9790	1488
868	9800	1477
869	9810	1465
870	9820	1454
871	9829	1442
872	9840	1431
873	9850	1420
874	9860	1408
875	9870	1397
876	9880	1385
877	9889	1374
878	9900	1362
879	9910	1351
880	9923	1340
881	9933	1329
882	9943	1317
883	9953	1306
884	9965	1294
885	9974	1283
886	9985	1272
887	9995	1260
888	10005	1249
889	10015	1237
890	10025	1226
891	10035	1215
892	10044	1203
893	10054	1192
894	10064	1180
