iter	Logloss
0	0.6641390864
1	0.6394826816
2	0.6152063684
3	0.5944767022
4	0.5739206185
5	0.5558952555
6	0.5384970098
7	0.5226786222
8	0.5077743299
9	0.4946859176
10	0.4823084968
11	0.4709974561
12	0.4610643259
13	0.4514944534
14	0.4425338593
15	0.4344212039
16	0.4266282563
17	0.4199966463
18	0.4139393154
19	0.4084840603
20	0.4030428162
21	0.3984277593
22	0.3940052125
23	0.3894331344
24	0.3855630501
25	0.3816381204
26	0.378322643
27	0.3751129262
28	0.3723710314
29	0.3697444358
30	0.3679000981
31	0.3654382715
32	0.36343281
33	0.3608004024
34	0.358817743
35	0.3564835013
36	0.3546522143
37	0.3524228037
38	0.3505097367
39	0.3483644315
40	0.3470207693
41	0.3457410961
42	0.3443741013
43	0.3430965629
44	0.3417243563
45	0.3405638585
46	0.3394816517
47	0.3383651454
48	0.3375112798
49	0.3358423394
50	0.3346251618
51	0.3336321496
52	0.3325001873
53	0.3317195289
54	0.3309210046
55	0.3304234458
56	0.3292561941
57	0.3286482291
58	0.3277484142
59	0.326899516
60	0.3262171762
61	0.3255715787
62	0.3249112139
63	0.3236346707
64	0.3229293063
65	0.3221488647
66	0.3216766359
67	0.3212763953
68	0.3206405283
69	0.3202121205
70	0.3198551376
71	0.3190070687
72	0.3185983606
73	0.3180269861
74	0.3174748601
75	0.3170709056
76	0.3165668453
77	0.3161373678
78	0.3154125097
79	0.3148440561
80	0.3144937797
81	0.3140682156
82	0.3135533484
83	0.3130449413
84	0.3126929637
85	0.3118643332
86	0.3114492459
87	0.3109904521
88	0.310237525
89	0.3096639878
90	0.3092720394
91	0.3088347434
92	0.3079075952
93	0.3074807132
94	0.3071247673
95	0.3063522631
96	0.3061145535
97	0.3055008557
98	0.3050113309
99	0.3044897156
100	0.3040383218
101	0.3037288194
102	0.3031588099
103	0.3023748882
104	0.3021499889
105	0.3017163133
106	0.3012436017
107	0.3009111861
108	0.3002880978
109	0.299623108
110	0.2993240567
111	0.2986804184
112	0.2981856319
113	0.2975608811
114	0.2968708057
115	0.2965222304
116	0.2957817778
117	0.2951357697
118	0.2946353798
119	0.2941588998
120	0.2935627824
121	0.2931489563
122	0.2927070851
123	0.2921786531
124	0.291710339
125	0.2912029168
126	0.2908241427
127	0.2903564294
128	0.2900056706
129	0.2896457323
130	0.289294569
131	0.2888812944
132	0.2883844284
133	0.2880578112
134	0.2878218159
135	0.28762105
136	0.2873548503
137	0.2870737895
138	0.2867835785
139	0.2865753409
140	0.2861111945
141	0.2857455929
142	0.2854947146
143	0.2851194054
144	0.284718063
145	0.2841600535
146	0.283737753
147	0.283376712
148	0.2828596144
149	0.2826920256
150	0.2824615191
151	0.2820854789
152	0.2817967665
153	0.2816784588
154	0.2812432714
155	0.2808561174
156	0.280583084
157	0.2803690097
158	0.2800696433
159	0.2797902075
160	0.2792509124
161	0.2789050764
162	0.2784257278
163	0.2782183293
164	0.2779340093
165	0.2776050153
166	0.2773171933
167	0.2771092619
168	0.2768109758
169	0.2764211343
170	0.2760377058
171	0.2758199815
172	0.275515934
173	0.2751969757
174	0.2748801086
175	0.2746971235
176	0.274568129
177	0.2744227395
178	0.2742298959
179	0.2739392582
180	0.2736807626
181	0.2734231
182	0.2732494624
183	0.2727822981
184	0.2722984622
185	0.2719363276
186	0.2715297051
187	0.2713575947
188	0.2712068085
189	0.2709344125
190	0.2704971208
191	0.2700390986
192	0.2697383753
193	0.2695992706
194	0.2694538296
195	0.2692635556
196	0.269046187
197	0.2687287502
198	0.2684181157
199	0.2680183018
200	0.2678035711
201	0.2675484962
202	0.2671246712
203	0.2668165851
204	0.2664342239
205	0.266198232
206	0.2660685657
207	0.2656453236
208	0.2654353961
209	0.265124768
210	0.2648345244
211	0.2645404669
212	0.2638856545
213	0.2635676889
214	0.2632509238
215	0.2630087663
216	0.2627044141
217	0.2624538087
218	0.2622023663
219	0.261866017
220	0.2616379438
221	0.261412417
222	0.2611322679
223	0.2609307966
224	0.2605488171
225	0.2602296754
226	0.2600565033
227	0.2596719761
228	0.2595214652
229	0.2592979643
230	0.2589660229
231	0.2586763582
232	0.2585178523
233	0.2583586296
234	0.2580215064
235	0.2576530853
236	0.2574669537
237	0.2573769905
238	0.2569662107
239	0.2566545073
240	0.2565008886
241	0.2563003549
242	0.2558960814
243	0.2556011236
244	0.255422891
245	0.2551208543
246	0.2546439189
247	0.2545281949
248	0.2541110081
249	0.2539099773
250	0.2537584234
251	0.2534910312
252	0.2532165515
253	0.2528980218
254	0.2526227021
255	0.2523138757
256	0.2520639097
257	0.2518009482
258	0.251580068
259	0.2513659493
260	0.2510457647
261	0.2507752431
262	0.2505712834
263	0.2502245455
264	0.2500709799
265	0.2496461153
266	0.2494641753
267	0.2491800923
268	0.2488961472
269	0.2484514912
270	0.2480641635
271	0.2479232884
272	0.2475883095
273	0.2474833334
274	0.2472819929
275	0.2470785354
276	0.2466359914
277	0.2463024261
278	0.2460115497
279	0.2458680565
280	0.2455047078
281	0.2453040927
282	0.2450113238
283	0.2446866889
284	0.2445182472
285	0.2442081047
286	0.2439588481
287	0.2437563398
288	0.2432827718
289	0.2432068126
290	0.2428051336
291	0.2426528053
292	0.2424997009
293	0.2422992623
294	0.2421115023
295	0.2419024286
296	0.2414836776
297	0.2413747093
298	0.2410615134
299	0.2407817153
300	0.2405551354
301	0.2404725346
302	0.2402096013
303	0.2400259524
304	0.2399005345
305	0.2396287418
306	0.2394486374
307	0.239181021
308	0.2387468242
309	0.2386758759
310	0.2384387573
311	0.2382073646
312	0.2379120119
313	0.2376926309
314	0.2374246326
315	0.2371384006
316	0.2370331565
317	0.23676327
318	0.2365710517
319	0.2363450192
320	0.2361994718
321	0.2360402242
322	0.2357643665
323	0.2355369883
324	0.2353781869
325	0.2352357053
326	0.2350668248
327	0.2348540952
328	0.2344808882
329	0.2342400724
330	0.233895278
331	0.2336788399
332	0.2335241086
333	0.2332576766
334	0.2330945155
335	0.2328542749
336	0.2327620678
337	0.2325034412
338	0.2322265216
339	0.2320133463
340	0.2317423516
341	0.2316215253
342	0.2315264678
343	0.2313714384
344	0.2312854076
345	0.2309927343
346	0.2308331088
347	0.23067414
348	0.2304334282
349	0.2301541854
350	0.2299451746
351	0.2296738534
352	0.2294582292
353	0.2292265491
354	0.2289809892
355	0.2288763193
356	0.228759594
357	0.2286670576
358	0.2284286355
359	0.2282507133
360	0.2279877658
361	0.2278363881
362	0.2275749657
363	0.2273440932
364	0.227194809
365	0.2270018188
366	0.2268440157
367	0.2265856684
368	0.226395363
369	0.226167392
370	0.2258889578
371	0.2258083383
372	0.225583438
373	0.2254760976
374	0.2253544804
375	0.2252113086
376	0.2250821237
377	0.2250031335
378	0.2248520201
379	0.2246225361
380	0.2244191789
381	0.2243583553
382	0.2242225505
383	0.2240318375
384	0.2238434661
385	0.2236657179
386	0.2234338636
387	0.2233678873
388	0.2232071323
389	0.2228454748
390	0.2226236156
391	0.2224785471
392	0.2223866667
393	0.2221809884
394	0.2219813343
395	0.2217899479
396	0.2214707566
397	0.221199677
398	0.2210080254
399	0.2209114075
400	0.2206538944
401	0.2204333741
402	0.220291834
403	0.2201189654
404	0.2199172617
405	0.2197513314
406	0.2195632721
407	0.2193910511
408	0.2192472551
409	0.2190260929
410	0.2187807155
411	0.2185849369
412	0.2184340863
413	0.2183372108
414	0.218130538
415	0.2178454857
416	0.2177043354
417	0.2174223012
418	0.2172775657
419	0.2170487687
420	0.2168919037
421	0.2168389542
422	0.2166765098
423	0.2164050169
424	0.2162449783
425	0.2161027409
426	0.2158718757
427	0.2156080635
428	0.2154285921
429	0.2152769934
430	0.214966453
431	0.2148476341
432	0.2146593097
433	0.2144688559
434	0.2143161364
435	0.2141947737
436	0.2139594404
437	0.2137170465
438	0.2134131059
439	0.2132496841
440	0.2131337575
441	0.2129065222
442	0.2127459922
443	0.2125522729
444	0.212304765
445	0.2121760965
446	0.2119777818
447	0.2117912314
448	0.2116584173
449	0.2115449213
450	0.2113537772
451	0.2111468599
452	0.2109421951
453	0.2107593536
454	0.2105418002
455	0.2103182125
456	0.2102415406
457	0.2100319659
458	0.2097758971
459	0.2096262782
460	0.2095070383
461	0.2093910185
462	0.2092174344
463	0.2090807747
464	0.2089399023
465	0.2087723806
466	0.2086348995
467	0.2085171863
468	0.2084236139
469	0.2082582779
470	0.2080484608
471	0.2079508492
472	0.2077536856
473	0.2075366798
474	0.2074055821
475	0.2071585444
476	0.2068987625
477	0.2067091354
478	0.2065870677
479	0.2063804847
480	0.2062039773
481	0.2060028732
482	0.2058090959
483	0.2056359453
484	0.2053865634
485	0.2049931731
486	0.2048746918
487	0.2047410215
488	0.2046278942
489	0.2044829883
490	0.2043544713
491	0.2041239895
492	0.2038335051
493	0.2036857802
494	0.2035106539
495	0.2034495902
496	0.2032627939
497	0.2031158026
498	0.2030399731
499	0.2028802112
500	0.2027359156
501	0.2025730294
502	0.2024536696
503	0.2023004567
504	0.2020919148
505	0.2019711107
506	0.2018309501
507	0.2016723922
508	0.2015765201
509	0.201458402
510	0.2013434226
511	0.2012194629
512	0.2011505147
513	0.2010418622
514	0.2009268078
515	0.2006794063
516	0.2004685274
517	0.2003087548
518	0.2000971353
519	0.1998731278
520	0.1997426967
521	0.1995901006
522	0.1993726463
523	0.1992081195
524	0.1991357433
525	0.1989565288
526	0.1988582992
527	0.1985988046
528	0.1983846097
529	0.1981997577
530	0.1979828713
531	0.1977878358
532	0.1976538034
533	0.197577035
534	0.1974479394
535	0.197311639
536	0.197244798
537	0.1971800303
538	0.1970433341
539	0.1969265058
540	0.1967296029
541	0.1966529209
542	0.1964290229
543	0.1962973616
544	0.1960467402
545	0.1959207812
546	0.1957887777
547	0.195727971
548	0.1954735736
549	0.1953686502
550	0.1951595407
551	0.195056618
552	0.1949551082
553	0.194895372
554	0.1947250762
555	0.1946121125
556	0.194382384
557	0.194238533
558	0.1940744737
559	0.1938123797
560	0.1935768813
561	0.1933025136
562	0.193032774
563	0.1929475673
564	0.1927802749
565	0.1926679357
566	0.1925007417
567	0.1924058247
568	0.1922560209
569	0.1921683567
570	0.1920329176
571	0.1918235782
572	0.1916611386
573	0.1915247252
574	0.1913120009
575	0.1911314129
576	0.1909294663
577	0.1908032297
578	0.1907239197
579	0.1905867577
580	0.1903860927
581	0.190287471
582	0.190192994
583	0.1900305155
584	0.1897517407
585	0.1895915673
586	0.1895232769
587	0.1892949045
588	0.1891757371
589	0.1890465328
590	0.1888651896
591	0.1887638028
592	0.1886876588
593	0.1884937143
594	0.1884364226
595	0.1882489908
596	0.1881598363
597	0.1880286022
598	0.1878820773
599	0.1877037748
600	0.1874273195
601	0.1872807875
602	0.187130787
603	0.1870500512
604	0.1868943812
605	0.1867281971
606	0.1865745864
607	0.1864067606
608	0.1861962811
609	0.1860134118
610	0.1858874263
611	0.1857109424
612	0.1854724981
613	0.1853741786
614	0.1852328221
615	0.1850310865
616	0.1847143844
617	0.1846148142
618	0.1845166826
619	0.1844443194
620	0.1842481368
621	0.1840231967
622	0.1839208549
623	0.1837864344
624	0.1837019228
625	0.1835966891
626	0.1835145087
627	0.1833766351
628	0.1832198297
629	0.1829932507
630	0.182883061
631	0.1826406709
632	0.1824437931
633	0.1822781026
634	0.1822236829
635	0.1821039596
636	0.1819756821
637	0.1818384011
638	0.1816703909
639	0.18156064
640	0.1814966631
641	0.1813843483
642	0.1812839798
643	0.1812001212
644	0.1810911183
645	0.1808872684
646	0.1807701719
647	0.1805716233
648	0.1805251181
649	0.180359425
650	0.1801349026
651	0.180010571
652	0.179807949
653	0.1796873511
654	0.1794565722
655	0.1793533198
656	0.1792115186
657	0.17899843
658	0.1789325609
659	0.1787457593
660	0.1786556596
661	0.1785649499
662	0.178469668
663	0.1783300787
664	0.1782631827
665	0.178164655
666	0.1780424138
667	0.177845308
668	0.1777209217
669	0.1775752428
670	0.1773232976
671	0.1771851316
672	0.1770474376
673	0.1769569868
674	0.1767880077
675	0.1766736617
676	0.1765457239
677	0.1764156054
678	0.1762675765
679	0.1761006212
680	0.1759028135
681	0.1757258805
682	0.1756099063
683	0.1754574867
684	0.1752724747
685	0.1751757489
686	0.1750061358
687	0.1748849272
688	0.1747747783
689	0.1746179678
690	0.174437278
691	0.1742804085
692	0.1741527086
693	0.1740343863
694	0.1739310157
695	0.1737806187
696	0.1735700614
697	0.1734562438
698	0.1733614712
699	0.1732599349
700	0.1731139761
701	0.1728291845
702	0.172695334
703	0.1725460452
704	0.1723447522
705	0.1721707374
706	0.1719366462
707	0.1717805931
708	0.1716503878
709	0.1715452203
710	0.1714103245
711	0.1712505527
712	0.171167216
713	0.1710703685
714	0.1710044196
715	0.1708954699
716	0.1706974551
717	0.170536616
718	0.1703297489
719	0.1701903475
720	0.1701193086
721	0.1699857701
722	0.1699032606
723	0.169715899
724	0.1696109413
725	0.1695166416
726	0.1694242819
727	0.1693191019
728	0.1692025914
729	0.1690151088
730	0.1688174843
731	0.1687185776
732	0.1685550192
733	0.168479146
734	0.1683556501
735	0.168278289
736	0.16811011
737	0.1679344207
738	0.1678334373
739	0.1677193548
740	0.1675135537
741	0.1673624326
742	0.1672162335
743	0.167096254
744	0.1669542002
745	0.1669201225
746	0.1668235373
747	0.1667281159
748	0.1666277054
749	0.1665437992
750	0.1663958238
751	0.1662125878
752	0.1660370495
753	0.1659993107
754	0.1659107739
755	0.1658555333
756	0.165666533
757	0.165599682
758	0.165481067
759	0.1653976685
760	0.1653146645
761	0.1651932856
762	0.1650297544
763	0.1648415295
764	0.1646634143
765	0.1644971218
766	0.1644370875
767	0.1643261598
768	0.1642851772
769	0.164116548
770	0.1640413609
771	0.1639368093
772	0.1638349966
773	0.1636490456
774	0.1635217187
775	0.1634442701
776	0.1633743756
777	0.1632686729
778	0.1631754301
779	0.163069886
780	0.1629120047
781	0.1628146997
782	0.1627010209
783	0.1626148334
784	0.1624889989
785	0.1623536785
786	0.1622445526
787	0.1621151921
788	0.1619413541
789	0.1618267328
790	0.1617237192
791	0.1615683046
792	0.161424728
793	0.1612765877
794	0.1611846632
795	0.1610413484
796	0.1609162606
797	0.1607963997
798	0.1606899839
799	0.1605498025
800	0.1603873198
801	0.1602597932
802	0.1601554309
803	0.1600786545
804	0.1600023623
805	0.1598607727
806	0.1597377428
807	0.1596157812
808	0.1594836901
809	0.1593985217
810	0.1592826347
811	0.1591405247
812	0.1589749249
813	0.1589146093
814	0.158779365
815	0.158677162
816	0.1585879422
817	0.1585207958
818	0.1584553775
819	0.1582973027
820	0.1581976578
821	0.158117247
822	0.1580217909
823	0.15791516
824	0.1578300852
825	0.1577349762
826	0.1577116419
827	0.1575589747
828	0.1574947024
829	0.1574006011
830	0.1572227088
831	0.1571726547
832	0.1570765752
833	0.1569179642
834	0.1568092818
835	0.1567275903
836	0.1565667393
837	0.1564715405
838	0.156346549
839	0.1562433342
840	0.1561017212
841	0.1559739893
842	0.1558820978
843	0.1557741539
844	0.155623209
845	0.1554885941
846	0.1554370501
847	0.1553088768
848	0.155212386
849	0.1550730178
850	0.1549610634
851	0.1548464246
852	0.1547872886
853	0.1546610594
854	0.1545980324
855	0.1544962101
856	0.1543373307
857	0.1541769176
858	0.1540515264
859	0.1538862341
860	0.153798591
861	0.1537371575
862	0.153669416
863	0.1535942546
864	0.1535059478
865	0.1533549549
866	0.1531798337
867	0.1530568588
868	0.1530042329
869	0.1529562172
870	0.1529046925
871	0.1527558697
872	0.1527003912
873	0.1525837304
874	0.1525091786
875	0.1524595577
876	0.1522993463
877	0.1521761365
878	0.1520360245
879	0.1519180017
880	0.151774832
881	0.1517067161
882	0.1515692532
883	0.1514114775
884	0.1512636741
885	0.1511425663
886	0.1510267411
887	0.1509352682
888	0.1508479343
889	0.1507322756
890	0.150655016
891	0.1505990967
892	0.150519805
893	0.1504144254
894	0.1502909809
895	0.1501786614
896	0.1501157803
897	0.1499620532
898	0.1498873026
899	0.1497929781
900	0.1496352157
901	0.1495394927
902	0.1494843714
903	0.1493223432
